공종,공정,공정설명,설비,물질,유해위험요인 분류,유해위험요인 원인,유해위험요인,관련근거(법규),위험 가능성,위험 중대성,위험성,감소대책
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,굴삭기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","굴삭기 버켓탈락으로 낙하, 협착","안전보건규칙
제207조 [조립시 점검]","중
(2)","소
(1)","낮음
(2)","1. 본체 연결부의 풀림 또는 손상의 유무
2. 버켓 연결핀의 연결상태 확인 및 유압장치의 이상유무 사전 점검 철저
3. 수리 시 안전블럭 등 사용"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,굴삭기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","굴삭기 후면에 접근금지 조치미흡으로 주변작업자 충돌, 협착","안전보건규칙
제200조 [접촉 방지]","중
(2)","소
(1)","낮음
(2)","1. 근로자 출입제한
2. 유도자 배치                      3. 경광등, 경보음, 후방감시카메라 등 설치 및 작동"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,천공기,,1. 기계(설비)적 요인,1.4 충돌위험 부분,천공기 하부 지반 침하로 천공장비 전도,"안전보건규칙
제199조 [전도 등의 방지]","하
(1)","중
(2)","낮음
(2)","1. 유도자배치
2. 지반의 부동침하 방지
3. 갓길의 붕괴 방지
4. 천공기 이동시 철판 사용"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,개구부,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),작업장소 인근 웅덩이 발생 및 무단방치로 작업자 보행중 추락,"안전보건규칙
제20조 [출입의 금지 등]","하
(1)","중
(2)","낮음
(2)","1. 출입금지구역관리
2. 안전지주 또는 안전블록 사용
3. 개구부 덮개 설치 및 식별조치"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,천공기,,6. 작업환경요인,6.4 주변 근로자,"신호수, 작업자 장비작업중 충돌로 머리, 발 등 신체 접촉","안전보건규칙
제32조 [보호구의 지급 등]","하
(1)","중
(2)","낮음
(2)","1. 보호구(안전모, 안전대, 안전화 등 지급 착용 및 신호용 호각, 신호봉 지급
2. 신호수 특별교육 시행"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,굴삭기,,6. 작업환경요인,6.4 주변 근로자,"신호수, 작업자 장비작업중 충돌로 머리, 발 등 신체 접촉","안전보건규칙
제32조 [보호구의 지급 등]","하
(1)","중
(2)","낮음
(2)","1. 보호구(안전모, 안전대, 안전화 등 지급 착용 및 신호용 호각, 신호봉 지급
2. 신호수 특별교육 시행"
기초파일작업,기초파일 천공,파일을 박기위해 지반에 구멍을 내는 작업,항타기,,6. 작업환경요인,6.4 주변 근로자,"신호수, 작업자 장비작업중 충돌로 머리, 발 등 신체 접촉","안전보건규칙
제32조 [보호구의 지급 등]","하
(1)","중
(2)","낮음
(2)","1. 보호구(안전모, 안전대, 안전화 등 지급 착용 및 신호용 호각, 신호봉 지급
2. 신호수 특별교육 시행"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,항타기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","항타기 작업유도자 미배치로 주변작업자 파일 및 항타장비에 충돌, 협착","안전보건규칙
제200조 [접촉 방지]","중
(2)","소
(1)","낮음
(2)","1. 근로자 출입제한
2. 신호수 및 유도자 배치"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,기성말뚝,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","항타기 작업유도자 미배치로 주변작업자 파일 및 항타장비에 충돌, 협착","안전보건규칙
제32조 [보호구의 지급 등]","중
(2)","소
(1)","낮음
(2)","1 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑)지급 
2. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 착용"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,지지대,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",항타 작업중 아웃트리거 미설치에 의한 전도 및 협착,"안전보건규칙
제209조 [도괴의 방지]","중
(2)","소
(1)","낮음
(2)","1. 연약지반 설치 시 깔판 · 깔목, 펄판 등 사용
2. 지내력 확인 후 부족 시 치환 및 보강
3. 말뚝 또는 쐐기 등을 사용하여 각부나 가대 고정
4. 레일클램프(rail clamp) 및 쐐기 등으로 고정
5. 버팀대는 3개 이상, 하단부분은 버팀 · 말뚝 또는 철골 등으로 고정
6. 버팀줄을 3개 이상, 같은 간격으로 배치
7. 평형추의 이동 방지 위해 가대에 부착"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,항타기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",항타 작업중 아웃트리거 미설치에 의한 전도 및 협착,"안전보건규칙
제209조 [도괴의 방지]","중
(2)","소
(1)","낮음
(2)","1. 연약지반 설치 시 깔판 · 깔목, 펄판 등 사용
2. 지내력 확인 후 부족 시 치환 및 보강
3. 말뚝 또는 쐐기 등을 사용하여 각부나 가대 고정
4. 레일클램프(rail clamp) 및 쐐기 등으로 고정
5. 버팀대는 3개 이상, 하단부분은 버팀 · 말뚝 또는 철골 등으로 고정
6. 버팀줄을 3개 이상, 같은 간격으로 배치
7. 평형추의 이동 방지 위해 가대에 부착"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,항타기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",항타기 붐대와 리더의 연결부 탈락에 의한 붐대 및 리더 전도,"안전보건규칙
제207조 [조립시 점검]","하
(1)","중
(2)","낮음
(2)","1. 본체 연결부의 풀림 또는 손상의 유무
2. 권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
3. 권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
4. 권상기의 설치상태의 이상 유무
5. 버팀의 방법 및 고정상태의 이상 유무"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,항타기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","항타기 회전중 후면부에 작업자 충돌, 협착","안전보건규칙
제200조 [접촉 방지]","중
(2)","소
(1)","낮음
(2)","1. 근로자 출입제한
2. 유도자 배치"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,공구류,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",해머를 인상시켜 놓고 하부에서 점검중 해머 낙하,"안전보건규칙
제206조 [수리 등의 작업시 조치]","하
(1)","중
(2)","낮음
(2)","1. 작업지휘자 지정
2. 작업순서 결정 및 지휘
3. 안전지주 또는 안전블록 사용상황 점검"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,기성말뚝,,1. 기계(설비)적 요인,1.4 충돌위험 부분,적재된 파일이 굴러내리면서 협착,"안전보건규칙
제386조 [경사면에서의 중량물 취급]","중
(2)","소
(1)","낮음
(2)","1. 구름멈춤대, 쐐기 등을 이용하여 중량물의 동요나 이동 조절
2. 경사면 아래로 근로자 출입 제한"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,기성말뚝,,1. 기계(설비)적 요인,1.4 충돌위험 부분,파일 과적재에 따른 적재된 파일 붕괴,"안전보건규칙
제393조 [화물의 적재]","하
(1)","중
(2)","낮음
(2)","1. 튼튼한 기반위에 적재
2. 불안정한 높이로 적재 금지
3. 편하중이 생기지 않도록 할 것"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,항타기,,1. 기계(설비)적 요인,1.4 충돌위험 부분,항타기 운행 또는 파일 항타중 지반 침하에 의한 장비 전도,"안전보건규칙
제199조 [전도 등의 방지]","하
(1)","중
(2)","낮음
(2)","1. 유도자배치
2. 지반의 부동침하 방지
3. 갓길의 붕괴 방지
4. 도로 폭의 유지"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,공구류,,1. 기계(설비)적 요인,1.4 충돌위험 부분,해머의 타격강도가 과하여 파일 파손에 의한 파편 낙하,-,"하
(1)","중
(2)","낮음
(2)","1. 해머의 항타고, 항타강도 적정 유지"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,항타기,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),"근로자가 안전모 등 개인보호구 미착용에 의한 충돌, 추락","안전보건규칙
제32조 [보호구의 지급 등]","하
(1)","중
(2)","낮음
(2)","1 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑)지급 
2. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 착용"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,공구류,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),"근로자가 안전모 등 개인보호구 미착용에 의한 충돌, 추락","안전보건규칙
제32조 [보호구의 지급 등]","하
(1)","중
(2)","낮음
(2)","1 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑)지급 
2. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 착용"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,항타기,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),항타기 해머 수리 작업시 추락,"안전보건규칙
제44조 [안전대의 부착설비 등]","하
(1)","중
(2)","낮음
(2)","1. 높이 2m이상 안전대 부착설비 설치
2. 안전대 및 부속설비 이상 유무 작업 전 점검
3. 리더 상부 이동 시 추락방지 조치"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,공구류,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),항타기 해머 수리 작업시 추락,"안전보건규칙
제44조 [안전대의 부착설비 등]","하
(1)","중
(2)","낮음
(2)","1. 높이 2m이상 안전대 부착설비 설치
2. 안전대 및 부속설비 이상 유무 작업 전 점검
3. 리더 상부 이동 시 추락방지 조치"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,항타기,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),항타기 해머 수리 작업시 추락,"안전보건규칙
제206조 [수리 등의 작업시 조치]","하
(1)","중
(2)","낮음
(2)","1. 작업지휘자 지정
2. 작업순서 결정 및 지휘
3. 안전지주 또는 안전블록 사용상황 점검"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,공구류,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),항타기 해머 수리 작업시 추락,"안전보건규칙
제206조 [수리 등의 작업시 조치]","하
(1)","중
(2)","낮음
(2)","1. 작업지휘자 지정
2. 작업순서 결정 및 지휘
3. 안전지주 또는 안전블록 사용상황 점검"
기초파일작업,기초파일 항타,항타기와 해머를 이용하여 구멍을 낸 지반에 파일을 박는 작업,항타기,분진,3. 화학(물질)적 요인,3.5 고체(분진),파일 항타중 파일 파괴에 의한 파일 파편 비산,"안전보건규칙
제200조 [접촉 방지]","하
(1)","중
(2)","낮음
(2)","1. 근로자 출입제한
2. 유도자 배치"
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,,철근,1. 기계(설비)적 요인,"1.2 위험한 표면(절단, 베임, 긁힘)",작업자 이동중 파일커팅부 상부에 넘어져 철근에 찔림,-,"하
(1)","중
(2)","낮음
(2)",1. 돌출된 철근에 찔림방지시설 설치(캡 설치)
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,파일커터장비,,1. 기계(설비)적 요인,"1.2 위험한 표면(절단, 베임, 긁힘)",작업자 이동중 파일커팅부 상부에 넘어져 철근에 찔림,-,"하
(1)","중
(2)","낮음
(2)",1. 돌출된 철근에 찔림방지시설 설치(캡 설치)
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,파일커터장비,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",파일 커티 작업중 운전미숙에 의해 주변 근로자 충돌,"안전보건규칙
제89조 [운전 시작 전 조치]","하
(1)","중
(2)","낮음
(2)","1. 근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치
2. 일정한 신호방법 및 신호자 지정"
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,파일커터장비,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","작업중 근로자의 머리 등 신체부위가 파일, 장비 등에 부딪힘","안전보건규칙
제32조 [보호구의 지급 등]","하
(1)","중
(2)","낮음
(2)","1 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑)지급 
2. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 착용"
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,파일커터장비,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",파일 커터장비 붐대 연결부 파손에 의한 붐대의 낙하,"안전보건규칙
제207조 [조립시 점검]","하
(1)","중
(2)","낮음
(2)","1. 본체 연결부의 풀림 또는 손상의 유무
2. 붐 연결 부위 누유 여부 사전 점검 및 유압 장치 정상작동 여부 점검, 조치"
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,파일커터장비,,1. 기계(설비)적 요인,1.4 충돌위험 부분,장비 이동 및 작업중 지반 침하로 장비 전도,"안전보건규칙
제199조 [전도 등의 방지]","하
(1)","중
(2)","낮음
(2)","1. 유도자배치
2. 지반의 부동침하 방지
3. 갓길의 붕괴 방지
4. 도로 폭의 유지"
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,파일커터장비,,1. 기계(설비)적 요인,1.4 충돌위험 부분,절단되어 넘어가는 파일에 의한 협착,"안전보건규칙
제200조 [접촉 방지]","중
(2)","소
(1)","낮음
(2)","1. 근로자 출입제한
2. 유도자 배치"
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,개구부,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),작업장소 주변 웅덩이 또는 굴착단부로 추락,"안전보건규칙
제20조 [출입의 금지 등]","하
(1)","중
(2)","낮음
(2)","1. 출입금지구역관리
2. 안전지주 또는 안전블록 사용"
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,파일커터장비,파편,3. 화학(물질)적 요인,3.5 고체(분진),파일 커터장비로 콘크리트 파일커팅 작업중 파일 파편 비산,-,"하
(1)","중
(2)","낮음
(2)",1. 파일 커터 장비 헤드커버 설치(철망 등 비래물에 의한 방호조치)
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,파일커터장비,파편,3. 화학(물질)적 요인,3.5 고체(분진),파일 커터장비로 콘크리트 파일커팅 작업중 파일 파편 비산,"안전보건규칙
제32조 [보호구의 지급 등]","하
(1)","중
(2)","낮음
(2)","1 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑)지급 
2. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 착용"
기초파일작업,기초파일 두부정리,지면위로 남은 파일을 계획선 레벨까지만 남기고 나머지는 컷팅하고 보강을 하는 작업,파일커터장비,,6. 작업환경요인,6.4 주변 근로자,"파일 커터장비 운행, 회전중 인근 근로자와 충돌, 협착","안전보건규칙
제200조 [접촉 방지]","중
(2)","소
(1)","낮음
(2)","1. 근로자 출입제한
2. 유도자 배치"
